ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2022-09-09T00:00:00.000000000Z,35,2,7045,162.990000000,169.490000000,162.980000000,169.000000000,5809044,META
2022-09-09T00:00:00.000000000Z,35,2,7352,260.310000000,265.210000000,260.080000000,264.460000000,7899572,MSFT
2022-09-09T00:00:00.000000000Z,35,2,825,494.350000000,503.140000000,493.510000000,500.010000000,400048,ASML
2022-09-09T00:00:00.000000000Z,35,2,10897,14.335000000,15.005000000,14.300000000,14.935000000,34654212,TQQQ
2022-09-09T00:00:00.000000000Z,35,2,9096,17.140000000,17.540000000,17.140000000,17.490000000,341047,QYLD
2022-09-09T00:00:00.000000000Z,35,2,2408,531.950000000,538.020000000,529.480000000,536.370000000,663896,COST
2022-09-09T00:00:00.000000000Z,35,2,9681,24.630000000,24.803333333,24.556666667,24.766666667,496944,SCHD
2022-09-09T00:00:00.000000000Z,35,2,10165,123.733333333,125.840000000,123.733333333,125.303333333,919896,SOXX
2022-09-09T00:00:00.000000000Z,35,2,525,83.820000000,85.680000000,83.680000000,85.230000000,11222219,AMD
2022-09-09T00:00:00.000000000Z,35,2,9019,23.685000000,24.422500000,23.655000000,24.345000000,638500,QLD
2022-09-09T00:00:00.000000000Z,35,2,5455,127.990000000,128.980000000,126.970000000,127.860000000,557315,IBB
2022-09-09T00:00:00.000000000Z,35,2,511,95.060000000,97.010000000,94.740000000,96.460000000,2242101,AMAT
2022-09-09T00:00:00.000000000Z,35,2,10053,107.500000000,108.735000000,106.835000000,108.200000000,3336376,SMH
2022-09-09T00:00:00.000000000Z,35,2,9684,15.797500000,16.030000000,15.790000000,15.940000000,343612,SCHG
2022-09-09T00:00:00.000000000Z,35,2,2110,42.540000000,43.795000000,42.540000000,43.500000000,106371,CIBR
2022-09-09T00:00:00.000000000Z,35,2,29,155.260000000,157.805000000,154.760000000,157.520000000,16376520,AAPL
2022-09-09T00:00:00.000000000Z,35,2,4349,103.550000000,105.070000000,103.470000000,104.880000000,30215,FTEC
2022-09-09T00:00:00.000000000Z,35,2,9050,124.990000000,126.530000000,124.600000000,126.330000000,184113,QQQM
2022-09-09T00:00:00.000000000Z,35,2,9046,302.840000000,307.600000000,302.550000000,307.010000000,10119985,QQQ
2022-09-09T00:00:00.000000000Z,35,2,10628,50.080000000,50.690000000,50.080000000,50.590000000,3597,TDIV
2022-09-09T00:00:00.000000000Z,35,2,11594,289.020000000,292.810000000,286.340000000,292.180000000,502375,VRTX
2022-09-09T00:00:00.000000000Z,35,2,5921,216.020000000,221.900000000,214.700000000,221.260000000,889707,ISRG
2022-09-12T00:00:00.000000000Z,35,2,973,52.364000000,53.126000000,51.872000000,53.019000000,7343180,AVGO
2022-09-12T00:00:00.000000000Z,35,2,5488,23.160000000,23.160000000,22.550000000,22.750000000,274,IBIT
2022-09-12T00:00:00.000000000Z,35,2,7080,40.340000000,40.930000000,40.340000000,40.930000000,171030,MGK
2022-09-12T00:00:00.000000000Z,35,2,7608,23.444000000,23.949000000,23.339000000,23.675000000,14957630,NFLX
2022-09-12T00:00:00.000000000Z,35,2,4828,111.330000000,111.800000000,109.930000000,111.020000000,6871672,GOOGL
2022-09-12T00:00:00.000000000Z,35,2,5457,128.100000000,129.080000000,127.680000000,129.080000000,465169,IBB
2022-09-12T00:00:00.000000000Z,35,2,9052,127.000000000,127.990000000,126.630000000,127.990000000,97086,QQQM
2022-09-12T00:00:00.000000000Z,35,2,9048,308.500000000,311.510000000,307.580000000,311.260000000,8277247,QQQ
2022-09-12T00:00:00.000000000Z,35,2,10113,345.010000000,345.010000000,337.330000000,339.510000000,348732,SNPS
2022-09-12T00:00:00.000000000Z,35,2,5636,58.452000000,58.878000000,58.210000000,58.422000000,1637250,IGV
2022-09-12T00:00:00.000000000Z,35,2,9098,17.540000000,17.730000000,17.510000000,17.730000000,289442,QYLD
2022-09-12T00:00:00.000000000Z,35,2,2518,191.480000000,195.400000000,191.010000000,195.400000000,891370,CRWD
2022-09-12T00:00:00.000000000Z,35,2,9686,16.102500000,16.220000000,16.075000000,16.182500000,565636,SCHG
2022-09-12T00:00:00.000000000Z,35,2,7047,169.400000000,171.390000000,166.880000000,169.160000000,6012837,META
2022-09-12T00:00:00.000000000Z,35,2,510,96.650000000,97.680000000,95.230000000,96.310000000,2237290,AMAT
2022-09-12T00:00:00.000000000Z,35,2,583,134.050000000,136.710000000,133.470000000,136.570000000,12224513,AMZN
2022-09-12T00:00:00.000000000Z,35,2,10167,125.726666667,126.500000000,124.296666667,125.836666667,1320660,SOXX
2022-09-12T00:00:00.000000000Z,35,2,29,158.000000000,164.260000000,158.000000000,164.100000000,23610900,AAPL
2022-09-12T00:00:00.000000000Z,35,2,524,85.650000000,86.050000000,83.470000000,84.600000000,10750673,AMD
2022-09-12T00:00:00.000000000Z,35,2,10055,108.925000000,109.440000000,107.660000000,108.930000000,2949256,SMH
